11,5	2882
11,9	2946
12,1	2946
12,5	3010
13	2946
13,4	3010
14,2	3075
15,7	3075
16,2	3907
16,3	3907
16,4	3971
16,6	3971
16,8	3971
17,1	4100
17,3	4035
17,6	4164
17,8	4228
18	4228
18,1	4228
18,2	4228
18,3	4292
18,4	4292
18,6	4292
18,8	4292
18,9	4356
19	4356
19,2	4356
19,3	4420
19,4	4420
20	4484
20,1	4484
20,2	4484
20,3	4484
20,6	4484
20,7	4548
20,9	4548
21	4548
21,1	4548
21,2	4548
21,3	4548
21,5	4612
21,6	4612
21,8	4676
21,9	4676
22	4676
22,1	4804
22,2	4804
22,5	4804
22,6	4804
22,7	4868
22,8	4932
22,9	4932
23	4932
23,1	4932
23,3	4932
23,4	4996
23,5	5060
23,6	5253
23,7	5445
23,8	6790
23,9	6790
24	6790
24,2	6982
24,3	6982
24,4	6918
24,5	6918
24,6	6982
24,7	6982
24,8	6982
24,9	7303
25	7303
25,1	7367
25,2	7431
25,3	7495
25,4	7623
25,5	7623
25,6	7559
25,7	7687
25,8	7559
25,9	7559
26	7495
26,1	7559
26,2	7623
26,3	7623
26,4	7559
26,5	7623
26,6	7687
26,7	7687
26,8	7687
27	7815
27,1	7815
27,2	7751
27,3	7815
27,4	7815
27,5	7815
27,6	7879
27,7	7943
27,8	7943
28,1	8007
28,2	8007
28,3	8264
28,4	8392
28,7	8392
28,8	8456
28,9	8456
29	8520
29,2	8520
29,3	8520
29,5	8648
